id,user_id,date,meal_name,calories,protein,carbs,fats,foods,created_at
02d8e1ba-4b4d-4f86-8468-40526a1f8f57,0a17aa0e-65a0-41ad-a0af-b7ce6ba83fc4,2026-01-05,Scanned Meal,150,2,19,7,"[{""fats"":""7g"",""name"":""Cream-O"",""carbs"":""19g"",""protein"":""2g"",""calories"":150,""quantity"":1,""serving_size"":""3 sandwiches (30g)""}]",2026-01-05 09:06:38.481141+00
035653b7-e091-45a6-ad8a-daa6a0a55aa1,0a17aa0e-65a0-41ad-a0af-b7ce6ba83fc4,2026-01-01,Scanned Meal,260,5,54,2,"[{""fats"":""1.2g"",""name"":""Koko Krunch"",""carbs"":""27g"",""protein"":""2.6g"",""calories"":130,""quantity"":2,""serving_size"":""1 serving""}]",2026-01-01 15:59:24.678333+00
14f90faa-aeea-4ef1-b2a4-ff50c3e5ebdb,0a17aa0e-65a0-41ad-a0af-b7ce6ba83fc4,2026-01-04,Scanned Meal,60,1,14,0,"[{""fats"":""0g"",""name"":""Yakult"",""carbs"":""14g"",""protein"":""1g"",""calories"":60,""quantity"":1,""serving_size"":""80ml""}]",2026-01-04 12:40:00.057407+00
17e893e6-0709-4c18-a8b3-9beb81e58142,0a17aa0e-65a0-41ad-a0af-b7ce6ba83fc4,2026-01-07,Scanned Meal,60,1,14,0,"[{""fats"":""0g"",""name"":""Yakult"",""carbs"":""14g"",""protein"":""1g"",""calories"":60,""quantity"":1,""serving_size"":""80ml""}]",2026-01-07 09:09:47.274319+00
18b2cc2b-b8a1-4661-9516-4f470868ba2b,0a17aa0e-65a0-41ad-a0af-b7ce6ba83fc4,2026-01-02,Scanned Meal,260,5,54,24,"[{""fats"":12,""name"":""Koko Krunch"",""carbs"":27,""protein"":2.6,""calories"":130,""quantity"":2,""serving_size"":""35g""}]",2026-01-02 15:42:32.577392+00
1bc05481-c77d-4bcb-9104-81b42d9ff61e,0a17aa0e-65a0-41ad-a0af-b7ce6ba83fc4,2026-01-05,Scanned Meal,500,39,55,11,"[{""fats"":""0.5g"",""name"":""Cooked White Rice"",""carbs"":""55g"",""protein"":""4g"",""calories"":260,""quantity"":1,""serving_size"":""1 plate (approx 200g)""},{""fats"":""10g"",""name"":""Fried Tilapia"",""carbs"":""0g"",""protein"":""35g"",""calories"":240,""quantity"":1,""serving_size"":""1 fish (approx 150g)""}]",2026-01-05 12:56:33.404651+00
1de94869-4a07-4018-ba83-754438b8e518,0a17aa0e-65a0-41ad-a0af-b7ce6ba83fc4,2026-01-02,Scanned Meal,60,1,14,0,"[{""fats"":""0g"",""name"":""Yakult"",""carbs"":""14g"",""protein"":""1g"",""calories"":60,""quantity"":1,""serving_size"":""80ml""}]",2026-01-02 10:28:00.11832+00
2184388f-3768-413e-8162-f09e7b0593f6,0a17aa0e-65a0-41ad-a0af-b7ce6ba83fc4,2026-01-02,Scanned Meal,150,2,19,7,"[{""fats"":""7g"",""name"":""Cream-O"",""carbs"":""19g"",""protein"":""2g"",""calories"":150,""quantity"":1,""serving_size"":""3 sandwiches (30g)""}]",2026-01-02 12:32:10.21848+00
2a4f1651-6482-45fa-a10b-8e177bf49b8e,0a17aa0e-65a0-41ad-a0af-b7ce6ba83fc4,2026-01-08,Scanned Meal,180,8,26,6,"[{""fats"":""0.5g"",""name"":""Cooked White Rice"",""carbs"":""25g"",""protein"":""2g"",""calories"":110,""quantity"":1,""serving_size"":""120g""},{""fats"":""5g"",""name"":""Fried Egg"",""carbs"":""0.5g"",""protein"":""6g"",""calories"":70,""quantity"":1,""serving_size"":""30g""}]",2026-01-08 00:53:58.600911+00
2ccda34a-189d-4105-b88f-76527e2749a6,0a17aa0e-65a0-41ad-a0af-b7ce6ba83fc4,2026-01-06,Scanned Meal,380,29,58,3,"[{""fats"":""0.5g"",""name"":""Cooked White Rice"",""carbs"":""58g"",""protein"":""4g"",""calories"":260,""quantity"":1,""serving_size"":""1 plate (approx 200g)""},{""fats"":""2g"",""name"":""Grilled Fish"",""carbs"":""0g"",""protein"":""25g"",""calories"":120,""quantity"":1,""serving_size"":""1 piece (approx 100g)""}]",2026-01-06 15:06:17.189886+00
30288b4c-2128-448b-8592-ce1897e41502,0a17aa0e-65a0-41ad-a0af-b7ce6ba83fc4,2026-01-05,Scanned Meal,60,1,14,0,"[{""fats"":""0g"",""name"":""Yakult"",""carbs"":""14g"",""protein"":""1g"",""calories"":60,""quantity"":1,""serving_size"":""80ml""}]",2026-01-05 08:53:19.810258+00
35f93bcc-ac1a-4fa1-9069-709c4175ae0a,0a17aa0e-65a0-41ad-a0af-b7ce6ba83fc4,2026-01-10,Scanned Meal,410,6,73,10,"[{""fats"":""0.5g"",""name"":""Cooked White Rice"",""carbs"":""58g"",""protein"":""4g"",""calories"":260,""quantity"":1,""serving_size"":""1 container (approx 200g)""},{""fats"":""9g"",""name"":""Fried Wontons"",""carbs"":""15g"",""protein"":""2g"",""calories"":150,""quantity"":1,""serving_size"":""4-5 pieces (approx 50g)""}]",2026-01-10 12:21:56.98627+00
39fa482c-743f-4060-a6f1-942d763be3cd,0a17aa0e-65a0-41ad-a0af-b7ce6ba83fc4,2026-01-07,Scanned Meal,600,28,100,7,"[{""fats"":""1g"",""name"":""Cooked White Rice"",""carbs"":""95g"",""protein"":""8g"",""calories"":440,""quantity"":1,""serving_size"":""1 plate (approx 250g)""},{""fats"":""6g"",""name"":""Chicken"",""carbs"":""0g"",""protein"":""20g"",""calories"":140,""quantity"":1,""serving_size"":""2 pieces (approx 100g)""},{""fats"":""0g"",""name"":""Sauce/Gravy"",""carbs"":""5g"",""protein"":""0g"",""calories"":20,""quantity"":1,""serving_size"":""2 tbsp (approx 30g)""}]",2026-01-07 13:47:27.927391+00
3e090ea4-ebd0-45db-ba08-3ccf8837dc32,0a17aa0e-65a0-41ad-a0af-b7ce6ba83fc4,2026-01-08,Scanned Meal,540,25,60,22,"[{""fats"":""22g"",""name"":""Garlic Fried Rice with Corned Beef"",""carbs"":""60g"",""protein"":""25g"",""calories"":540,""quantity"":1,""serving_size"":""1 container (approx 400g)""}]",2026-01-08 13:48:54.629325+00
429d6074-6296-40ca-9547-cfe78678e99a,0a17aa0e-65a0-41ad-a0af-b7ce6ba83fc4,2026-01-09,Scanned Meal,320,26,0,23,"[{""fats"":""23g"",""name"":""Grilled Chicken Leg"",""carbs"":""0g"",""protein"":""26g"",""calories"":320,""quantity"":1,""serving_size"":""1 leg (approx 170g)""}]",2026-01-09 09:30:46.037559+00
